title,Year,cast1,cast2, cast3, crew1, crew2, crew3, genre, NotListed, Crime, Romance, Animation, Music, Comedy, TVMovie, Horror, War, Adventure, Thriller, Western, Mystery, Kids, ScienceFiction, Foreign, Drama, Action, Documentary, History, Family, Fantasy,,
Chaand Kaa Tukdaa,1994, Salman Khan, Sridevi Kapoor, Anupam Kher, Saawan Kumar Tak, Anwar Khan, ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Big Showdown,1973, Charles Heung, Fu-Wan Chin, Tina Chin-Fei, Wong Tin-Lam, , ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Spooks!,1953, Shemp Howard, Philip Van Zandt, Tom Kennedy, Jules White, Felix Adler, , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ted Bundy,2002, Michael Reilly Burke, Boti Bliss, Julianna McCarthy, Matthew Bright, Matthew Bright, Stephen Johnston, Crime-Drama-Horror,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Alias,2013, , , , Michelle Latimer, , , Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
The Leg Fighters,1980, Dorian Tan Tao-Liang, Wang Hsieh, Ha Kwong-Li, Lee Tso-Nam, Hsin Yi Chang, , Action-Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,
Secrets,1924, Norma Talmadge, Eugene O'Brien, Patterson Dial, Frank Borzage, Frances Marion, Rudolph Besier,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bremen 4: Jigoku no Naka no Tenshi-tachi,1981, , , , , , , Animation-Fantasy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Bushido - Deutschland gib mir ein Mic,2006, Anis Mohamed Youssef Ferchichi, Saad El-Haddad, , , , ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Hare Remover,1946, Mel Blanc, Arthur Q. Bryan, , Frank Tashlin, Carl W. Stalling, Edward Selzer, Animation-Comedy,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Porcel: How to conquer women,1991, Jorge Porcel, Leticia Laurenz, Claudia Sandin, Wilfredo Ferran, , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Wahnsinn,1919, Conrad Veidt, , , Conrad Veidt, Hermann Fellner, Margarete Lindau-Schulz, Horror,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tribuzy: Execution Live Reunion,2009, Bruce Dickinson, , , , , , Music,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Felix in Fairyland,1923, , , , Otto Messmer, , ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Big N' Plenty,2004, Edu Boxer, Carlo Masi, Adam Dexter, John Rutherford, , ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Bitches,1992, Annabelle Davies, Linda Serbu, Charles Wing, Richard Kern, Richard Kern, Richard Kern,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Land of the Pharaohs,1955, Jack Hawkins, Joan Collins, Dewey Martin, Howard Hawks, William Faulkner, Harry Kurnitz, Drama-History,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,
Jail House Blues,1942, Nat Pendleton, Anne Gwynne, Robert Paige, Albert S. Rogell, , ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Refrigerator,1991, , , , , , ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Waardenberg & de Jong: Jool Hul,1990, , , , , , ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Outlaw,1943, Jane Russell, Jack Buetel, Thomas Mitchell, Howard Hughes, Howard Hughes, Jules Furthman, Action-Adventure-Western,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,,
Brave Miss World,2013, , , , Cecilia Peck, Cecilia Peck, Inbal B. Lessner, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Small Town Sheriff,1927, , , , , , ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
311: Enlarged to Show Detail,1996, Nick Hexum, Tim Mahoney," Doug ""SA"" Martinez", Mark Kohr, , ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Princess and the Pea,2002, Amanda Waving, Steven Webb, Dan Finnerty, Mark Swan, , , Animation-Family-Fantasy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
Ten Brothers of Shaolin,1979, Don Wong Tao, Chang Yi, Phillip Ko Fei, Chung Ting, Szeto Man, Tung Hsiang Hsu, Action-Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,
Legendary,2010, John Cena, Patricia Clarkson, Devon Graye, Mel Damski, John Posey, David Calloway, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Fist of Anger,1973, Jackie Chan, Mu Zhu, Hao Li, Mu Zhu, Lan Su, , Action-Drama-History,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,
Biwi No. 1,1999, Salman Khan, Anil Kapoor, Karisma Kapoor, David Dhawan, Kamal Haasan, ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Frost Bite,2011, Cassandre Leigh, Cheyenne Buchanan, Arthur Moonin, Joe Davison, Joe Davison, , Action-Horror,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
Picture Brides,1934, Dorothy Mackaill, Regis Toomey, Alan Hale, Phil Rosen, , ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
